project,owner,status,countries,type,lat,lng,route,url,capacity1,capacity_unit1
Nor Andino Gas Pipeline,"Tractebel, 79.00%, Southern Company, 21.00%",operating,"Argentina, Chile",Gas,,,"-23.411714,-64.334061:-23.203767,-65.348458:-22.918386,-65.587554:-23.401436,-66.367099:-23.226463,-67.062930:-22.914098,-68.191907:-22.450742,-68.921476:-22.279583,-69.595587:-23.059034,-70.365959;-22.279583,-69.595587:-22.095688402454,-70.210469216919",https://www.gem.wiki/Nor_Andino_Gas_Pipeline,"48,700.18",BOE/d
Petro Andina Pipeline,Pluspetrol,operating,Argentina,Oil,,,"-36.818982,-69.8810497:-37.382302,-68.913633",https://www.gem.wiki/Petro_Andina_Pipeline,"40,000.00",BOE/d
Oiltanking Pipeline,Oiltanking,operating,Argentina,Oil,,,"-35.271021, -58.254999: -35.19943551, -58.45328457: -35.10832408, -58.63739706: -34.95359779, -58.81908702: -34.78067328, -58.9499038: -34.56550313, -59.02984738: -34.33977391, -59.02984738: -34.154251, -58.949585",https://www.gem.wiki/Oiltanking_Pipeline,"126,000.00",BOE/d
Trans-Andean Oil Pipeline,"Yacimientos Petrolíferos Fiscales Bolivianos, Empresa Nacional del Petroleo",mothballed,"Argentina, Chile",Oil,,,"-37.384787, -68.905599: -37.453871, -71.123999: -37.464186, -72.361073: -36.781221, -73.126132",https://www.gem.wiki/Trans-Andean_Oil_Pipeline,"115,000.00",BOE/d
Oldelval Oil Pipeline Phase I,"Gás Transboliviano Yacimientos Petroliferos Fiscales Bolivianos S.A., 37.00%, ExxonMobil, 21.00%, Chevron, 14.00%, Pluspetrol, 12.00%, Pan American Energy, 12.00%, Tecpetrol, 2.00%, Pampa Energía, 2.00%",operating,Argentina,Oil,,,"-33.073037,-68.970743:-34.668099,-69.002036:-35.224352,-69.646882:-35.735376,-69.537619:-35.867154,-69.802493:-36.561370,-69.551352:-37.384787,-68.905599:-37.901707,-67.861086:-38.683411,-67.939768:-38.934084,-67.671492:-39.035015,-66.933913:-39.039097,-66.191408:-39.030266,-65.406288:-39.033741,-64.720801:-38.973065,-63.950192:-38.889569,-63.222308:-38.776853,-62.429585:-38.923906,-62.052878:-34.638981,-58.340342;-38.934084,-67.671492:-38.969227,-68.956412:-38.928118,-69.187443;-38.776853,-62.429585:-39.255325,-62.615221",https://www.gem.wiki/Oldelval_Oil_Pipeline,"232,000.00",BOE/d
Sistema Cordillerano-Patagónico Expansion,Pampa Energía,operating,Argentina,Gas,,,"-38.748928,-68.838019:-39.577367,-69.371759:-40.052225,-70.096198:-40.564190,-70.638059:
-42.912318,-71.318954:-44.048521,-70.598518:-45.685625,-70.251178:-45.730365,-68.308205",https://www.gem.wiki/Gasoducto_Sistema_Cordillerano-Patag%C3%B3nico,,
Vaca Muerta Pipeline System,"Pampa Energía, Techint",shelved,Argentina,Gas,,,"-38.415504,-68.634669:-36.853160,-62.658756:-33.350426,-60.214963",https://www.gem.wiki/Vaca_Muerta_Pipeline,"243,516.39",BOE/d
San Martin Pipeline,"AES Corporation, 55.30%, D.E. Shaw & Company, 15.20%, NYSE & Argentinian Stock Exchange, 29.50%",operating,Argentina,Gas,,,"-34.850640,-58.184817:-35.017494,-58.275934:-37.210354,-59.181640:-38.242600,-61.017527:-38.687292,-62.392252:-39.298661,-63.364005:-40.059891,-64.472154:-41.131634,-65.322437:-42.327206,-65.636607:-43.600885,-65.920822:-44.686023,-66.616695:-45.558399,-67.662218:-46.662132,-67.939772:-47.674066,-67.373986:-48.542841,-67.771976:-49.303801,-67.784489:-50.287180,-69.210233:-51.297441,-69.531551:-52.324664,-68.428755:-53.037715,-68.518833:-53.363194,-68.151616",https://www.gem.wiki/San_Martin_Pipeline,"66,966.62",BOE/d
Neuba II Pipeline,"AES Corporation, 55.30%, D.E. Shaw & Company, 15.20%, NYSE & Argentinian Stock Exchange, 29.50%",operating,Argentina,Gas,,,"-37.963439,-69.032594:-38.437856,-68.565942:-38.983676,-67.328105:-39.033436,-65.878599:-38.968377,-64.064982:-38.687292,-62.392252:-36.852832,-62.658845:-35.865003,-61.152000:-34.773835,-59.691362:-34.834422,-59.013666",https://www.gem.wiki/Neuba_II_Pipeline,"9,309.06",BOE/d
Neuba I Pipeline,"AES Corporation, 55.30%, D.E. Shaw & Company, 15.20%, NYSE & Argentinian Stock Exchange, 29.50%",operating,Argentina,Gas,,,"-38.748928,-68.838019:-39.024977,-66.535480:-38.938711,-63.723143:-38.687292,-62.392252:-38.242600,-61.017527:-36.902746,-60.242149:-34.615036,-58.3887827",https://www.gem.wiki/Neuba_I_Pipeline,"241,682.16",BOE/d
