project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
"Zenith Steel Group Co., Ltd.",中天钢铁集团有限公司,"Zenith Steel Group Co., Ltd. 100%: Dong Caiping 57.2%, other shareholders 42.8%","Zenith Steel Group Co., Ltd. 100%: Dong Caiping 57.2%, other shareholders 42.8%",private,Jiangsu,China,Eastern Asia,operating,12000,5342.92,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Zenith_Steel_Group_Co.,_Ltd._plant",31.707656,120.079591
"Changshu Longteng Special Steel Co., Ltd.",常熟市龙腾特种钢有限公司,"Changshu Longteng Special Steel Co., Ltd. 100%: Ji Bingyuan 75%, Xu Caiyun 25%","Changshu Longteng Special Steel Co., Ltd. 100%: Ji Bingyuan 75%, Xu Caiyun 25%",private,Jiangsu,China,Eastern Asia,operating,4300,803.32,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Changshu_Longteng_Special_Steel_Co.,_Ltd._plant",31.723833,120.835685
Jiangsu Shente Steel Co. Ltd.,江苏申特钢铁有限公司,"Prosperity Materials (International) Co., Ltd. 50%, Shente Steel Group 50%","Prosperity Materials (International Co., Ltd. 50%, Shanghai Sainaijie Investment Management Co., Ltd. 25%, Shanghai Yongtong Iron & Steel Co., Ltd. 25%",private,Jiangsu,China,Eastern Asia,operating,3300,3200,integrated_BF,"BF, BOF",https://www.gem.wiki/Jiangsu_Shente_Steel_Co._Ltd._plant,31.471123,119.485941
"Jiangsu Binxin Special Steel Material Co., Ltd.",江苏省镔鑫钢铁集团有限公司,"Liangyungang Ganyu Zhongcheng Investment Co., Ltd. 87.27%, Chen Jiarong (individual) 12.73%","Liangyungang Ganyu Zhongcheng Investment Co., Ltd. 87.27%, Chen Jiarong (individual) 12.73%",private,Jiangsu,China,Eastern Asia,operating,6000,1606.64,integrated_BF,"BF, BOF","https://www.gem.wiki/Jiangsu_Binxin_Special_Steel_Material_Co.,_Ltd._plant",35.09556,119.279989
"Lianyungang Xingxin Iron and Steel Co., Ltd.",连云港兴鑫钢铁有限公司,"Lianyungang Xingxin Iron and Steel Co., Ltd. 100%: Wang Airui 30.45%, Chen Shubiao 10.65%, Wang Yuanting 10.53%, other shareholders 48.37%","Lianyungang Xingxin Iron and Steel Co., Ltd.: Wang Airui 30.45%, Chen Shubiao 10.65%, Wang Yuanting 10.53%, Wang Zhaoguang 10.06%, Liu Yixiu 9.18%, Chen Zhengrong 8.89%, Wang Tianpeng 7.51%, Lin Fajiang 6.71%, Lin Renxiu 4.13%, Chen Shihai 1.4%, Chen Ruiming 0.49%",private,Jiangsu,China,Eastern Asia,operating,3000,3000,integrated_BF,"BF, BOF","https://www.gem.wiki/Lianyungang_Xingxin_Iron_and_Steel_Co.,_Ltd._plant",34.38381,119.786878
"Jiangsu Xugang Iron and Steel Group Co., Ltd.",江苏徐钢钢铁集团有限公司,"Jiangsu Xugang Iron and Steel Group Co., Ltd.: Wang Aiqin 73.86%, Wang Jiawang 8.46%, Wei Xiaowu 7.96%, Liu Baowei 5.15%, Lin Dongfang 4.57%","Jiangsu Xugang Iron and Steel Group Co., Ltd.: Wang Aiqin 73.86%, Wang Jiawang 8.46%, Wei Xiaowu 7.96%, Liu Baowei 5.15%, Lin Dongfang 4.57%",private,Jiangsu,China,Eastern Asia,operating,6050,3080,integrated_BF,"BF, BOF","https://www.gem.wiki/Jiangsu_Xugang_Iron_and_Steel_Group_Co.,_Ltd.",34.577016,117.339638
"Jiangsu New Yangtze Industrial Group Co., Ltd.",江苏新长江实业集团有限公司,"Jiangyin Lingang Economic Development Zone Changjiang Village Federation of Trade Unions 95%, Villager Committee of Changjiang Village, Xiagang Street, Jiangyin City 5%","Jiangyin Lingang Economic Development Zone Changjiang Village Federation of Trade Unions 95%, Villager Committee of Changjiang Village, Xiagang Street, Jiangyin City 5%",state-owned,Jiangsu,China,Eastern Asia,operating,3500,500,integrated_BF,"BF, BOF","https://www.gem.wiki/Jiangsu_New_Yangtze_Industrial_Group_Co.,_Ltd._steel_plant",31.919883,120.205802
"Xuzhou Baofeng Special Steel Co., Ltd.",徐州宝丰特钢有限公司,"Xuzhou Baofeng Special Steel Co., Ltd. 100%: Jin Lianchun 89.55%, Xuzhou Haijin Trading Co., Ltd. 9.95%, Gong Jinghu 0.5%","Xuzhou Baofeng Special Steel Co., Ltd. 100%: Jin Lianchun 89.55%, Xuzhou Haijin Trading Co., Ltd. 9.95%, Gong Jinghu 0.5%",private,Jiangsu,China,Eastern Asia,closed,1500,728.96,integrated_BF,"BF, BOF","https://www.gem.wiki/Xuzhou_Baofeng_Special_Steel_Co.,_Ltd._plant",34.364872,117.322633
"Changzhou Eastern Special Steel Co., Ltd.",常州东方特钢有限公司,"Changzhou Dongrun Special Steel Co., Ltd. 90%, Dai Li (individual) 10%","Changzhou Dongrun Special Steel Co., Ltd. 90%, Dai Li (individual) 10%",private,Jiangsu,China,Eastern Asia,operating,3600,2600,integrated_BF,"BF, BOF, EAF","https://www.gem.wiki/Changzhou_Eastern_Special_Steel_Co.,_Ltd._plant",31.602554,119.724256
"Danyang Longjiang Steel Co., Ltd.",丹阳龙江钢铁有限公司,"Hong Kong Fortune Dynasty Co., Ltd. 67.17%, Chen Xiufang 32.83%","Hong Kong Fortune Dynasty Co., Ltd. 67.17%, Chen Xiufang 32.83%",private,Jiangsu,China,Eastern Asia,operating,1500,1500,integrated_BF,"BF, BOF","https://www.gem.wiki/Danyang_Longjiang_Steel_Co.,_Ltd._plant",32.027791,119.57706
